Measurement results,,,,,,,,,,,,
New Session191.skax,,,,,,,,,,,,
4/19/2024 3:03:57 PM,,,,,,,,,,,,
 ,,,,,,,,,,,,
Absorbance 1,,,,,,,,,,,,
Wavelength: 450 nm,,,,,,,,,,,,
 ,,,,,,,,,,,,
Plate 1,,,,,,,,,,,,
 ,,,,,,,,,,,,
Abs,1,2,3,4,5,6,7,8,9,10,11,12
A,0.0614,0.0564,0.0409,0.0439,0.0670,0.1762,0.0536,0.0956,0.0463,0.0701,0.0400,0.0519
B,0.0578,0.0875,0.0766,0.1624,0.0950,0.0409,0.0543,0.0449,0.0869,0.0348,0.0404,0.0724
C,0.0449,0.0681,0.0609,0.0506,0.0659,0.0602,0.0568,0.0760,0.0478,0.0387,0.0670,0.0585
D,0.0644,0.0420,0.0917,0.0418,0.0409,0.0651,0.0983,0.0613,0.0411,0.0543,0.0431,0.0436
E,0.0617,0.0557,0.0405,0.0438,0.0685,0.0922,0.0497,0.0608,0.0476,0.0524,0.0573,0.0799
F,0.0571,0.0628,0.0641,0.0509,0.0684,0.0418,0.0529,0.1600,0.0788,0.0501,0.0426,0.0698
G,0.0434,0.0612,0.0537,0.0562,0.0601,0.0723,0.0603,0.0637,0.0492,0.0413,0.0719,0.0577
H,0.0617,0.0434,0.0751,0.0426,0.0554,0.0720,0.1037,0.0584,0.0402,0.0469,0.0409,0.0524
,,,,,,,,,,,,
Sample,1,2,3,4,5,6,7,8,9,10,11,12
A,Un0001,Un0002,Un0003,Un0004,Un0005,Un0006,Un0007,Un0008,Un0009,Un0010,Un0011,Un0012
B,Un0013,Un0014,Un0015,Un0016,Un0017,Un0018,Un0019,Un0020,Un0021,Un0022,Un0023,Un0024
C,Un0025,Un0026,Un0027,Un0028,Un0029,Un0030,Un0031,Un0032,Un0033,Un0034,Un0035,Un0036
D,Un0037,Un0038,Un0039,Un0040,Un0041,Un0042,Un0043,Un0044,Un0045,Un0046,Un0047,Un0048
E,Un0049,Un0050,Un0051,Un0052,Un0053,Un0054,Un0055,Un0056,Un0057,Un0058,Un0059,Un0060
F,Un0061,Un0062,Un0063,Un0064,Un0065,Un0066,Un0067,Un0068,Un0069,Un0070,Un0071,Un0072
G,Un0073,Un0074,Un0075,Un0076,Un0077,Un0078,Un0079,Un0080,Un0081,Un0082,Un0083,Un0084
H,Un0085,Un0086,Un0087,Un0088,Un0089,Un0090,Un0091,Un0092,Un0093,Un0094,Un0095,Un0096
,,,,,,,,,,,,
Autoloading range A1 - M28,,,,,,,,,,,,
