Measurement results,,,,,,,,,,,,,,,,,,,,,,,,,,
New Session192.skax,,,,,,,,,,,,,,,,,,,,,,,,,,
4/19/2024 3:05:59 PM,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,
Absorbance 1,,,,,,,,,,,,,,,,,,,,,,,,,,
Wavelength: 450 nm,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate 2,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,
Abs,1,2,3,4,5,6,7,8,9,10,11,12,,,,,,,,,,,,,,
A,0.0589,0.0611,0.0429,0.0486,0.0720,0.4772,0.0650,0.0560,0.0475,0.0747,0.0782,0.0666,,,,,,,,,,,,,,
B,0.0585,0.0621,0.0694,0.0822,0.0548,0.0414,0.0587,0.1005,0.1012,0.0423,0.0491,0.0657,,,,,,,,,,,,,,
C,0.0433,0.0633,0.0676,0.0524,0.0596,0.0634,0.0750,0.0562,0.0497,0.0425,0.0748,0.0863,,,,,,,,,,,,,,
D,0.0606,0.0423,0.0886,0.0398,0.0540,0.0699,0.1157,0.0600,0.0432,0.0537,0.0414,0.0508,,,,,,,,,,,,,,
E,0.1328,0.0521,0.0399,0.0432,0.0644,0.0861,0.0592,0.0474,0.0488,0.0642,0.0818,0.0441,,,,,,,,,,,,,,
F,0.0544,0.0579,0.0598,0.0736,0.0727,0.0556,0.0547,0.0721,0.1009,0.0421,0.0566,0.0607,,,,,,,,,,,,,,
G,0.0422,0.0716,0.0547,0.0433,0.0574,0.0666,0.0705,0.0714,0.0438,0.0429,0.0665,0.0569,,,,,,,,,,,,,,
H,0.0553,0.0419,0.0694,0.0431,0.0539,0.0711,0.1199,0.0556,0.0416,0.0439,0.0413,0.0459,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample,1,2,3,4,5,6,7,8,9,10,11,12,,,,,,,,,,,,,,
A,Un0001,Un0002,Un0003,Un0004,Un0005,Un0006,Un0007,Un0008,Un0009,Un0010,Un0011,Un0012,,,,,,,,,,,,,,
B,Un0013,Un0014,Un0015,Un0016,Un0017,Un0018,Un0019,Un0020,Un0021,Un0022,Un0023,Un0024,,,,,,,,,,,,,,
C,Un0025,Un0026,Un0027,Un0028,Un0029,Un0030,Un0031,Un0032,Un0033,Un0034,Un0035,Un0036,,,,,,,,,,,,,,
D,Un0037,Un0038,Un0039,Un0040,Un0041,Un0042,Un0043,Un0044,Un0045,Un0046,Un0047,Un0048,,,,,,,,,,,,,,
E,Un0049,Un0050,Un0051,Un0052,Un0053,Un0054,Un0055,Un0056,Un0057,Un0058,Un0059,Un0060,,,,,,,,,,,,,,
F,Un0061,Un0062,Un0063,Un0064,Un0065,Un0066,Un0067,Un0068,Un0069,Un0070,Un0071,Un0072,,,,,,,,,,,,,,
G,Un0073,Un0074,Un0075,Un0076,Un0077,Un0078,Un0079,Un0080,Un0081,Un0082,Un0083,Un0084,,,,,,,,,,,,,,
H,Un0085,Un0086,Un0087,Un0088,Un0089,Un0090,Un0091,Un0092,Un0093,Un0094,Un0095,Un0096,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Autoloading range A1 - M28,,,,,,,,,,,,,,,,,,,,,,,,,,
