decanoic acid (mM),decanoate (mM),decylamine (mM),decyl trimethylamine (mM),decylsulfate (mM),decanol (mM),monocaprin (mM),num_vesicles
0.07799999999999999,0.8149999999999998,1.3999999999999997,1.8749999999999998,0.6399999999999999,0.30749999999999983,0.7200000000000001,0
0.30499999999999994,1.3,2.45,0.36999999999999994,1.25,0.6224999999999999,0.42499999999999993,0
1.8749999999999998,0.22499999999999998,0.9949999999999999,4.75,0.02699999999999992,1.1175,0.635,1
0.171,3.6250000000000004,0.17199999999999993,0.655,1.475,0.9825000000000002,0.08799999999999991,0
1.725,0.1449999999999999,0.635,3.4000000000000004,0.196,0.2909999999999999,0.44999999999999996,0
0.10899999999999992,2.825,1.2,2.35,0.132,0.7575,0.535,0
0.13399999999999998,0.83,3.5000000000000004,1.375,0.66,0.87,0.665,0
0.11299999999999992,0.635,2.2250000000000005,0.535,1.5250000000000001,1.4325,0.7600000000000001,0
0.07399999999999995,2.3,1.95,1.6750000000000003,0.26999999999999996,0.05999999999999992,0.4699999999999999,0
2.125,0.785,0.12899999999999992,1.6999999999999995,0.24499999999999997,0.42749999999999994,0.49,0
0.1599999999999999,0.30499999999999994,3.9749999999999996,0.36999999999999994,1.275,0.4124999999999999,0.755,0
1.725,0.26499999999999996,0.6149999999999999,1.55,0.5249999999999999,1.05,0.605,0
0.05099999999999993,1.15,0.24,1.0,1.7500000000000004,0.855,0.6299999999999999,2
0.2749999999999999,1.3,1.5750000000000004,1.8250000000000002,0.5,1.275,0.6,0
0.02799999999999983,0.38499999999999995,0.745,2.2,1.025,1.1175,0.7,0
2.675,0.26999999999999996,1.3,1.3499999999999999,0.13299999999999992,0.8475000000000001,0.8500000000000001,0
1.8749999999999998,0.405,0.36999999999999994,0.29999999999999993,1.55,0.5249999999999999,0.37999999999999995,0
0.07699999999999999,0.2749999999999999,0.04399999999999992,3.6000000000000005,0.8450000000000001,0.42749999999999994,0.91,13
0.26999999999999996,0.165,3.725,0.6449999999999999,1.3999999999999997,1.2225000000000001,0.39499999999999996,0
0.36999999999999994,1.5000000000000004,0.405,0.46,1.975,1.3575,0.36999999999999994,0
4.55,0.020999999999999994,1.65,1.5750000000000004,0.017,1.3125,0.765,0
0.5399999999999999,1.95,0.3099999999999999,0.013999999999999877,2.975,0.20549999999999988,0.345,0
0.09099999999999993,3.8499999999999983,2.0250000000000004,0.255,1.05,1.3725,0.59,0
0.021999999999999905,1.6750000000000003,1.45,0.12199999999999993,2.5749999999999997,1.035,0.42999999999999994,2
2.475000000000001,0.53,4.75,0.705,0.0979999999999999,0.18299999999999983,0.08099999999999996,0
0.14299999999999988,0.6299999999999999,1.95,4.05,0.2749999999999999,0.12299999999999986,0.44999999999999996,2
2.8,0.735,0.26499999999999996,0.765,0.39499999999999996,0.44999999999999996,0.6299999999999999,0
0.6,0.09899999999999998,3.4499999999999997,0.26499999999999996,1.7750000000000008,1.1175,0.19,0
2.4,2.1,0.23499999999999996,0.4699999999999999,0.45499999999999996,1.08,0.11899999999999991,0
4.700000000000001,0.515,1.975,0.5199999999999999,0.16699999999999984,1.3575,0.255,0
2.25,0.2749999999999999,1.925,0.32,0.9949999999999999,1.3125,0.1789999999999999,0
0.605,0.9500000000000001,0.5199999999999999,1.25,1.025,0.9599999999999999,0.26999999999999996,0
0.24999999999999994,0.7,4.825,1.075,1.05,1.0125,0.05299999999999995,0
0.08899999999999997,1.475,4.4,2.6250000000000004,0.49499999999999994,1.485,0.21,0
1.3,0.158,0.05599999999999986,0.6949999999999998,2.25,1.365,0.05999999999999992,0
0.23499999999999996,4.3,2.9500000000000006,0.171,0.8149999999999998,0.9749999999999999,0.36999999999999994,0
0.62,0.635,3.175,1.925,0.53,0.87,0.12699999999999995,0
4.3,2.275,0.14899999999999997,0.255,0.017,0.8400000000000001,0.46,0
0.45499999999999996,0.7200000000000001,0.09299999999999999,2.1,0.895,1.455,0.58,0
4.325,0.785,0.565,0.44999999999999996,0.2149999999999999,0.48,0.39999999999999997,0
2.55,0.6299999999999999,0.11599999999999988,1.025,0.595,0.08999999999999997,0.152,0
3.5000000000000004,2.875,0.021999999999999905,0.08499999999999992,0.162,0.3375,0.55,0
1.7500000000000004,0.2149999999999999,4.15,0.71,0.285,0.0855,0.32499999999999996,0
0.11199999999999985,2.7250000000000005,5.0,1.5000000000000004,0.26999999999999996,0.44999999999999996,0.2899999999999999,0
0.5199999999999999,0.2749999999999999,3.1500000000000004,0.13399999999999998,1.8749999999999998,1.155,0.35999999999999993,0
0.2899999999999999,0.3350000000000001,1.975,4.15,0.2899999999999999,0.5325,0.665,7
1.125,4.45,4.2,0.0399999999999999,0.006999999999999857,0.016499999999999924,0.12499999999999994,0
0.4149999999999999,0.162,2.1499999999999995,2.275,0.635,0.1425,0.19999999999999996,0
