decanoic acid_Concentration (mM),decanoate_Concentration (mM),decylamine_Concentration (mM),decyl trimethylamine_Concentration (mM),decylsulfate_Concentration (mM),decanol_Concentration (mM),monocaprin_Concentration (mM),num_vesicles
0.4399999999999999,0.505,0.49,0.28,0.079,0.33,0.8500000000000001,0
0.38499999999999995,0.4449999999999999,0.53,0.22999999999999995,0.09899999999999998,0.4124999999999999,0.81,0
0.35999999999999993,0.49499999999999994,0.535,0.2149999999999999,0.09099999999999993,0.4124999999999999,0.865,0
0.34999999999999987,0.49,0.55,0.255,0.05299999999999995,0.3825,0.8500000000000001,0
0.35999999999999993,0.49499999999999994,0.505,0.24999999999999994,0.11099999999999995,0.4575000000000001,0.77,0
0.3099999999999999,0.475,0.5399999999999999,0.30499999999999994,0.07299999999999998,0.37499999999999994,0.9,0
0.34999999999999987,0.41,0.625,0.2949999999999999,0.09499999999999996,0.35999999999999993,0.86,1
0.345,0.51,0.49499999999999994,0.2149999999999999,0.12099999999999994,0.3375,0.91,1
0.34999999999999987,0.49,0.65,0.23499999999999996,0.09499999999999996,0.3825,0.7949999999999999,0
0.37999999999999995,0.49,0.595,0.2749999999999999,0.08099999999999996,0.39,0.7300000000000001,0
0.355,0.42499999999999993,0.61,0.26499999999999996,0.13399999999999998,0.39,0.7900000000000001,0
0.405,0.5,0.55,0.28,0.04599999999999994,0.3525,0.765,0
0.32,0.53,0.49499999999999994,0.24,0.12499999999999994,0.4575000000000001,0.7900000000000001,0
0.32,0.545,0.5199999999999999,0.22,0.132,0.4425,0.7949999999999999,0
0.4149999999999999,0.46,0.49,0.2149999999999999,0.11499999999999991,0.44999999999999996,0.8050000000000002,0
0.38499999999999995,0.42499999999999993,0.55,0.23499999999999996,0.07299999999999998,0.4124999999999999,0.9050000000000001,0
0.34999999999999987,0.44999999999999996,0.58,0.22499999999999998,0.06699999999999998,0.35999999999999993,0.7949999999999999,0
0.36499999999999994,0.42999999999999994,0.545,0.22999999999999995,0.1419999999999999,0.29999999999999993,0.8500000000000001,0
0.4449999999999999,0.5,0.53,0.22499999999999998,0.10399999999999993,0.2984999999999999,0.8450000000000001,0
0.42499999999999993,0.535,0.42499999999999993,0.23499999999999996,0.14299999999999988,0.3825,0.8450000000000001,0
0.3099999999999999,0.5199999999999999,0.57,0.24,0.1379999999999999,0.435,0.755,0
0.39,0.44999999999999996,0.545,0.2899999999999999,0.07999999999999997,0.26999999999999996,0.9500000000000001,0
0.435,0.505,0.46,0.26499999999999996,0.10899999999999992,0.28649999999999987,0.81,0
0.26999999999999996,0.49,0.59,0.285,0.11099999999999995,0.345,0.8050000000000002,0
0.013999999999999877,0.006999999999999857,0.05899999999999999,1.3499999999999999,1.5250000000000001,0.013499999999999925,0.019999999999999987,6
0.002999999999999921,0.015999999999999952,0.03899999999999996,1.05,1.7500000000000004,0.0584999999999999,0.025,0
0.11199999999999985,0.008999999999999996,0.06999999999999999,1.05,1.6999999999999995,0.011999999999999999,0.02599999999999991,17
0.025,0.08499999999999992,0.013999999999999877,0.9300000000000002,1.85,0.023999999999999955,0.04799999999999998,1
0.10599999999999994,0.051999999999999984,0.0009999999999999668,1.05,1.6750000000000003,0.08249999999999993,0.017,0
0.04699999999999999,0.006999999999999857,0.06099999999999991,1.25,1.5250000000000001,0.04649999999999993,0.05399999999999991,14
0.04399999999999992,0.018,0.12099999999999994,0.7900000000000001,1.925,0.02249999999999994,0.07299999999999998,9
0.018999999999999937,0.02899999999999984,0.06999999999999999,0.9249999999999999,1.8250000000000002,0.0014999999999999079,0.09999999999999994,10
0.06899999999999992,0.011999999999999999,0.023999999999999955,1.275,1.475,0.10349999999999995,0.007999999999999926,36
0.12199999999999993,0.07599999999999991,0.10399999999999993,1.05,1.5999999999999999,0.016499999999999924,0.0019999999999999437,0
0.017,0.07099999999999998,0.06499999999999996,0.8450000000000001,1.8749999999999998,0.07649999999999993,0.037999999999999895,39
0.015999999999999952,0.003999999999999947,0.255,0.6449999999999999,2.0000000000000004,0.06449999999999989,0.005999999999999936,4
0.07299999999999998,0.02699999999999992,0.051999999999999984,0.9350000000000002,1.7500000000000004,0.007499999999999904,0.02799999999999983,2
0.019999999999999987,0.004999999999999926,0.09299999999999999,0.97,1.6999999999999995,0.07649999999999993,0.05099999999999993,2
0.0019999999999999437,0.006999999999999857,0.1989999999999999,0.9200000000000002,1.6999999999999995,0.041999999999999815,0.022999999999999972,2
0.066,0.002999999999999921,0.05299999999999995,0.6900000000000001,2.0500000000000007,0.013499999999999925,0.02699999999999992,2
0.04799999999999998,0.010999999999999935,0.18299999999999997,1.15,1.5000000000000004,0.05249999999999997,0.003999999999999947,52
0.0969999999999999,0.049999999999999996,0.10699999999999997,0.77,1.8999999999999997,0.020999999999999894,0.032999999999999904,4
0.013999999999999877,0.048999999999999974,0.08099999999999996,1.3999999999999997,1.3499999999999999,0.018,0.06899999999999992,2
0.11899999999999991,0.11399999999999991,0.009999999999999917,0.895,1.7750000000000008,0.0,0.007999999999999926,0
0.019999999999999987,0.006999999999999857,0.06699999999999998,1.5000000000000004,1.275,0.03449999999999982,0.04699999999999999,19
0.14699999999999996,0.07999999999999997,0.04399999999999992,0.7300000000000001,1.975,0.013499999999999925,0.018999999999999937,2
0.013999999999999877,0.02899999999999984,0.0969999999999999,1.0,1.65,0.05099999999999993,0.036999999999999915,58
0.08399999999999994,0.014999999999999944,0.03399999999999991,0.6,2.175,0.0014999999999999079,0.003999999999999947,1
